Entity,Code,Year,Solar (TWh growth - equivalent)
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.000050277776608709246
Argentina,ARG,1999,0.00002666666841832921
Argentina,ARG,2000,0.000029444447136484087
Argentina,ARG,2001,0.00001999999221879989
Argentina,ARG,2002,0.000010833333362825215
Argentina,ARG,2003,0.00005138888082001358
Argentina,ARG,2004,0.000013055556337349117
Argentina,ARG,2005,0.000030277777113951743
Argentina,ARG,2006,0.000024166685761883855
Argentina,ARG,2007,0.00005222219624556601
Argentina,ARG,2008,0.0000944444618653506
Argentina,ARG,2009,-0.000190277787623927
Argentina,ARG,2010,0.000025833345716819167
Argentina,ARG,2011,0.004206111188977957
Argentina,ARG,2012,0.017972221598029137
Argentina,ARG,2013,0.01866639032959938
Argentina,ARG,2014,0.0021108314394950867
Argentina,ARG,2015,-0.0036530569195747375
Argentina,ARG,2016,-0.0013313889503479004
Argentina,ARG,2017,0.005480833351612091
Argentina,ARG,2018,0.24239222705364227
Argentina,ARG,2019,1.821899175643921
Argentina,ARG,2020,1.4226913452148438
Argentina,ARG,2021,2.214406967163086
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.01180555485188961
Asia,,1991,0
Asia,,1992,0.0340205579996109
Asia,,1993,0.038456108421087265
Asia,,1994,0.022165007889270782
Asia,,1995,0.039964981377124786
Asia,,1996,0.06813250482082367
Asia,,1997,0.12953230738639832
Asia,,1998,0.15068382024765015
Asia,,1999,0.23167654871940613
Asia,,2000,0.4023309350013733
Asia,,2001,0.49980628490448
Asia,,2002,0.6213133335113525
Asia,,2003,0.8050146102905273
Asia,,2004,0.9529995918273926
Asia,,2005,1.0560011863708496
Asia,,2006,1.178091049194336
Asia,,2007,1.1984033584594727
Asia,,2008,1.526848316192627
Asia,,2009,2.547300338745117
Asia,,2010,4.743849754333496
Asia,,2011,12.279197692871094
Asia,,2012,14.166187286376953
Asia,,2013,36.97190856933594
Asia,,2014,81.072509765625
Asia,,2015,85.63725280761719
Asia,,2016,123.79722595214844
Asia,,2017,209.36376953125
Asia,,2018,242.180908203125
Asia,,2019,210.94049072265625
Asia,,2020,195.572265625
Asia,,2021,288.5399169921875
Asia Pacific (BP),,1966,0
Asia Pacific (BP),,1967,0
Asia Pacific (BP),,1968,0
Asia Pacific (BP),,1969,0
Asia Pacific (BP),,1970,0
Asia Pacific (BP),,1971,0
Asia Pacific (BP),,1972,0
Asia Pacific (BP),,1973,0
Asia Pacific (BP),,1974,0
Asia Pacific (BP),,1975,0
Asia Pacific (BP),,1976,0
Asia Pacific (BP),,1977,0
Asia Pacific (BP),,1978,0
Asia Pacific (BP),,1979,0
Asia Pacific (BP),,1980,0
Asia Pacific (BP),,1981,0
Asia Pacific (BP),,1982,0
Asia Pacific (BP),,1983,0
Asia Pacific (BP),,1984,0
Asia Pacific (BP),,1985,0
Asia Pacific (BP),,1986,0
Asia Pacific (BP),,1987,0
Asia Pacific (BP),,1988,0
Asia Pacific (BP),,1989,0
Asia Pacific (BP),,1990,0.011833333410322666
Asia Pacific (BP),,1991,0.01611027494072914
Asia Pacific (BP),,1992,0.05366916209459305
Asia Pacific (BP),,1993,0.04583332687616348
Asia Pacific (BP),,1994,0.030457228422164917
Asia Pacific (BP),,1995,0.05103777348995209
Asia Pacific (BP),,1996,0.08131861686706543
Asia Pacific (BP),,1997,0.14446330070495605
Asia Pacific (BP),,1998,0.16530585289001465
Asia Pacific (BP),,1999,0.24645835161209106
Asia Pacific (BP),,2000,0.4205365777015686
Asia Pacific (BP),,2001,0.5206389427185059
Asia Pacific (BP),,2002,0.6323764324188232
Asia Pacific (BP),,2003,0.8181540966033936
Asia Pacific (BP),,2004,0.9799253940582275
Asia Pacific (BP),,2005,1.0864710807800293
Asia Pacific (BP),,2006,1.21453857421875
Asia Pacific (BP),,2007,1.2522759437561035
Asia Pacific (BP),,2008,1.586848258972168
Asia Pacific (BP),,2009,2.8811731338500977
Asia Pacific (BP),,2010,6.464511871337891
Asia Pacific (BP),,2011,14.850341796875
Asia Pacific (BP),,2012,14.577255249023438
Asia Pacific (BP),,2013,40.12453842163086
Asia Pacific (BP),,2014,82.32882690429688
Asia Pacific (BP),,2015,86.92984008789062
Asia Pacific (BP),,2016,122.1097412109375
Asia Pacific (BP),,2017,206.32723999023438
Asia Pacific (BP),,2018,233.16156005859375
Asia Pacific (BP),,2019,209.59765625
Asia Pacific (BP),,2020,196.9530029296875
Asia Pacific (BP),,2021,295.9468994140625
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0.016111111268401146
Australia,AUS,1992,0.019668331369757652
Australia,AUS,1993,0.007392499595880508
Australia,AUS,1994,0.008279722183942795
Australia,AUS,1995,0.011088613420724869
Australia,AUS,1996,0.013158604502677917
Australia,AUS,1997,0.014932781457901001
Australia,AUS,1998,0.014637216925621033
Australia,AUS,1999,0.014785006642341614
Australia,AUS,2000,0.018185272812843323
Australia,AUS,2001,0.02084195613861084
Australia,AUS,2002,0.01108694076538086
Australia,AUS,2003,0.013119712471961975
Australia,AUS,2004,0.026928603649139404
Australia,AUS,2005,0.030453622341156006
Australia,AUS,2006,0.0367569625377655
Australia,AUS,2007,0.044214993715286255
Australia,AUS,2008,0.0695180594921112
Australia,AUS,2009,0.41940248012542725
Australia,AUS,2010,1.9029773473739624
Australia,AUS,2011,2.9266574382781982
Australia,AUS,2012,0.973351001739502
Australia,AUS,2013,3.8722238540649414
Australia,AUS,2014,2.929680824279785
Australia,AUS,2015,3.268922805786133
Australia,AUS,2016,3.2321834564208984
Australia,AUS,2017,3.8156471252441406
Australia,AUS,2018,8.896341323852539
Australia,AUS,2019,15.601802825927734
Australia,AUS,2020,14.387374877929688
Australia,AUS,2021,19.006389617919922
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0.0029444443061947823
Austria,AUT,1994,0
Austria,AUT,1995,0
Austria,AUT,1996,0
Austria,AUT,1997,0.002972222398966551
Austria,AUT,1998,0
Austria,AUT,1999,0
Austria,AUT,2000,0.002944443840533495
Austria,AUT,2001,0.005833333358168602
Austria,AUT,2002,0.011583332903683186
Austria,AUT,2003,0.01722416654229164
Austria,AUT,2004,0.008367780596017838
Austria,AUT,2005,0.00831444188952446
Austria,AUT,2006,0.0035155564546585083
Austria,AUT,2007,0.004837214946746826
Austria,AUT,2008,0.016101673245429993
Austria,AUT,2009,0.05196499824523926
Austria,AUT,2010,0.10990417003631592
Austria,AUT,2011,0.23369108140468597
Austria,AUT,2012,0.4451577663421631
Austria,AUT,2013,0.7806838750839233
Austria,AUT,2014,0.42126762866973877
Austria,AUT,2015,0.396270751953125
Austria,AUT,2016,0.41049718856811523
Austria,AUT,2017,0.4430241584777832
Austria,AUT,2018,0.4727818965911865
Austria,AUT,2019,0.6367878913879395
Austria,AUT,2020,0.8786654472351074
Austria,AUT,2021,0.1948556900024414
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.0021805553697049618
Azerbaijan,AZE,2014,0.005680555943399668
Azerbaijan,AZE,2015,0.004527777433395386
Azerbaijan,AZE,2016,0.08211055397987366
Azerbaijan,AZE,2017,0.004500560462474823
Azerbaijan,AZE,2018,0.004871383309364319
Azerbaijan,AZE,2019,0.01263861358165741
Azerbaijan,AZE,2020,0.0069255530834198
Azerbaijan,AZE,2021,0.021004997193813324
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0.0002916666562668979
Bangladesh,BGD,2003,0.002319444203749299
Bangladesh,BGD,2004,0.0028611114248633385
Bangladesh,BGD,2005,0.0042500002309679985
Bangladesh,BGD,2006,0.005638888105750084
Bangladesh,BGD,2007,0.0100833335891366
Bangladesh,BGD,2008,0.017268333584070206
Bangladesh,BGD,2009,0.027384169399738312
Bangladesh,BGD,2010,0.052861109375953674
Bangladesh,BGD,2011,0.03814750164747238
Bangladesh,BGD,2012,0.08813637495040894
Bangladesh,BGD,2013,0.1038714200258255
Bangladesh,BGD,2014,0.09916245937347412
Bangladesh,BGD,2015,0.08198028802871704
Bangladesh,BGD,2016,0.05468946695327759
Bangladesh,BGD,2017,0.08532160520553589
Bangladesh,BGD,2018,0.05348777770996094
Bangladesh,BGD,2019,0.13563919067382812
Bangladesh,BGD,2020,0.16109108924865723
Bangladesh,BGD,2021,0.15482139587402344
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0
Belarus,BLR,2005,0
Belarus,BLR,2006,0
Belarus,BLR,2007,0
Belarus,BLR,2008,0
Belarus,BLR,2009,0
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0.0010888888500630856
Belarus,BLR,2014,0.004327777307480574
Belarus,BLR,2015,0.018833335489034653
Belarus,BLR,2016,0.045353055000305176
Belarus,BLR,2017,0.16725166141986847
Belarus,BLR,2018,0.07534109055995941
Belarus,BLR,2019,0.15964335203170776
Belarus,BLR,2020,-0.025370001792907715
Belarus,BLR,2021,0.29936638474464417
Belgium,BEL,1966,0
Belgium,BEL,1967,0
Belgium,BEL,1968,0
Belgium,BEL,1969,0
Belgium,BEL,1970,0
Belgium,BEL,1971,0
Belgium,BEL,1972,0
Belgium,BEL,1973,0
Belgium,BEL,1974,0
Belgium,BEL,1975,0
Belgium,BEL,1976,0
Belgium,BEL,1977,0
Belgium,BEL,1978,0
Belgium,BEL,1979,0
Belgium,BEL,1980,0
Belgium,BEL,1981,0
Belgium,BEL,1982,0
Belgium,BEL,1983,0
Belgium,BEL,1984,0
Belgium,BEL,1985,0
Belgium,BEL,1986,0
Belgium,BEL,1987,0
Belgium,BEL,1988,0
Belgium,BEL,1989,0
Belgium,BEL,1990,0
Belgium,BEL,1991,0
Belgium,BEL,1992,0
Belgium,BEL,1993,0
Belgium,BEL,1994,0
Belgium,BEL,1995,0
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0
Belgium,BEL,2003,0
Belgium,BEL,2004,0.002888888819143176
Belgium,BEL,2005,-0.000027777627110481262
Belgium,BEL,2006,0.0028333330992609262
Belgium,BEL,2007,0.011277777142822742
Belgium,BEL,2008,0.10105027258396149
Belgium,BEL,2009,0.3455677926540375
Belgium,BEL,2010,1.0907338857650757
Belgium,BEL,2011,1.6705429553985596
Belgium,BEL,2012,2.6648104190826416
Belgium,BEL,2013,1.3163270950317383
Belgium,BEL,2014,0.6129937171936035
Belgium,BEL,2015,0.4115324020385742
Belgium,BEL,2016,0.05570411682128906
Belgium,BEL,2017,0.5167808532714844
Belgium,BEL,2018,1.5237865447998047
Belgium,BEL,2019,0.8802976608276367
Belgium,BEL,2020,2.2011566162109375
Belgium,BEL,2021,1.2665719985961914
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0
Brazil,BRA,1971,0
Brazil,BRA,1972,0
Brazil,BRA,1973,0
Brazil,BRA,1974,0
Brazil,BRA,1975,0
Brazil,BRA,1976,0
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,0
Brazil,BRA,1981,0
Brazil,BRA,1982,0
Brazil,BRA,1983,0
Brazil,BRA,1984,0
Brazil,BRA,1985,0
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,0
Brazil,BRA,2010,0
Brazil,BRA,2011,0
Brazil,BRA,2012,0.0026861110236495733
Brazil,BRA,2013,0.010369444265961647
Brazil,BRA,2014,0.03051166608929634
Brazil,BRA,2015,0.1150958240032196
Brazil,BRA,2016,0.06958277523517609
Brazil,BRA,2017,1.9854508638381958
Brazil,BRA,2018,6.9443159103393555
Brazil,BRA,2019,8.38327407836914
Brazil,BRA,2020,10.686965942382812
Brazil,BRA,2021,15.6070556640625
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,0
Bulgaria,BGR,1975,0
Bulgaria,BGR,1976,0
Bulgaria,BGR,1977,0
Bulgaria,BGR,1978,0
Bulgaria,BGR,1979,0
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,0
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,0
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0
Bulgaria,BGR,1988,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,0
Bulgaria,BGR,2009,0.008388889022171497
Bulgaria,BGR,2010,0.033244721591472626
Bulgaria,BGR,2011,0.2369905412197113
Bulgaria,BGR,2012,1.9533113241195679
Bulgaria,BGR,2013,1.4773578643798828
Bulgaria,BGR,2014,-0.3175027370452881
Bulgaria,BGR,2015,0.33259010314941406
Bulgaria,BGR,2016,-0.014006614685058594
Bulgaria,BGR,2017,0.02332305908203125
Bulgaria,BGR,2018,-0.18108081817626953
Bulgaria,BGR,2019,0.24977397918701172
Bulgaria,BGR,2020,0.08676552772521973
Bulgaria,BGR,2021,0.008573770523071289
CIS (BP),,1991,0
CIS (BP),,1992,0
CIS (BP),,1993,0
CIS (BP),,1994,0
CIS (BP),,1995,0
CIS (BP),,1996,0
CIS (BP),,1997,0
CIS (BP),,1998,0
CIS (BP),,1999,0
CIS (BP),,2000,0
CIS (BP),,2001,0
CIS (BP),,2002,0
CIS (BP),,2003,0
CIS (BP),,2004,0
CIS (BP),,2005,0
CIS (BP),,2006,0
CIS (BP),,2007,0
CIS (BP),,2008,0
CIS (BP),,2009,0.000020583333025570028
CIS (BP),,2010,0.0006460833246819675
CIS (BP),,2011,0.0043611107394099236
CIS (BP),,2012,0.01236111018806696
CIS (BP),,2013,0.03396861255168915
CIS (BP),,2014,0.4291746914386749
CIS (BP),,2015,0.6263865232467651
CIS (BP),,2016,0.6074371337890625
CIS (BP),,2017,0.37805497646331787
CIS (BP),,2018,0.4279470443725586
CIS (BP),,2019,1.920469045639038
CIS (BP),,2020,4.483828067779541
CIS (BP),,2021,1.8156709671020508
Canada,CAN,1966,0
Canada,CAN,1967,0
Canada,CAN,1968,0
Canada,CAN,1969,0
Canada,CAN,1970,0
Canada,CAN,1971,0
Canada,CAN,1972,0
Canada,CAN,1973,0
Canada,CAN,1974,0
Canada,CAN,1975,0
Canada,CAN,1976,0
Canada,CAN,1977,0
Canada,CAN,1978,0
Canada,CAN,1979,0
Canada,CAN,1980,0
Canada,CAN,1981,0
Canada,CAN,1982,0
Canada,CAN,1983,0
Canada,CAN,1984,0
Canada,CAN,1985,0
Canada,CAN,1986,0
Canada,CAN,1987,0
Canada,CAN,1988,0
Canada,CAN,1989,0
Canada,CAN,1990,0
Canada,CAN,1991,0
Canada,CAN,1992,0.006083332933485508
Canada,CAN,1993,0
Canada,CAN,1994,0
Canada,CAN,1995,0.005277777090668678
Canada,CAN,1996,0.006083332933485508
Canada,CAN,1997,0.0031111128628253937
Canada,CAN,1998,0.009325554594397545
Canada,CAN,1999,0.009337777271866798
Canada,CAN,2000,0.009338054805994034
Canada,CAN,2001,0.00896194577217102
Canada,CAN,2002,0.008846107870340347
Canada,CAN,2003,-0.00027277320623397827
Canada,CAN,2004,-0.024990838021039963
Canada,CAN,2005,0.0075766704976558685
Canada,CAN,2006,0.01107555627822876
Canada,CAN,2007,0.013764441013336182
Canada,CAN,2008,0.024833887815475464
Canada,CAN,2009,0.20605362951755524
Canada,CAN,2010,0.4049091339111328
Canada,CAN,2011,0.8678500652313232
Canada,CAN,2012,0.8379513025283813
Canada,CAN,2013,1.670257806777954
Canada,CAN,2014,1.6584582328796387
Canada,CAN,2015,2.052192211151123
Canada,CAN,2016,2.998654365539551
Canada,CAN,2017,-1.2839241027832031
Canada,CAN,2018,0.5349912643432617
Canada,CAN,2019,0.7084884643554688
Canada,CAN,2020,0.4873476028442383
Canada,CAN,2021,2.265016555786133
Central America (BP),,1972,0
Central America (BP),,1973,0
Central America (BP),,1974,0
Central America (BP),,1975,0
Central America (BP),,1976,0
Central America (BP),,1977,0
Central America (BP),,1978,0
Central America (BP),,1979,0
Central America (BP),,1980,0
Central America (BP),,1981,0
Central America (BP),,1982,0
Central America (BP),,1983,0
Central America (BP),,1984,0
Central America (BP),,1985,0
Central America (BP),,1986,0
Central America (BP),,1987,0
Central America (BP),,1988,0
Central America (BP),,1989,0
Central America (BP),,1990,0
Central America (BP),,1991,0
Central America (BP),,1992,0
Central America (BP),,1993,0
Central America (BP),,1994,0
Central America (BP),,1995,0
Central America (BP),,1996,0
Central America (BP),,1997,0
Central America (BP),,1998,0
Central America (BP),,1999,0
Central America (BP),,2000,0
Central America (BP),,2001,0
Central America (BP),,2002,0
Central America (BP),,2003,0
Central America (BP),,2004,0
Central America (BP),,2005,0.0015583332860842347
Central America (BP),,2006,0.00028333335649222136
Central America (BP),,2007,0.00001666671596467495
Central America (BP),,2008,-0.0000027779024094343185
Central America (BP),,2009,0.0001944445539265871
Central America (BP),,2010,0.0007833333220332861
Central America (BP),,2011,0.0006111110560595989
Central America (BP),,2012,0.002166666556149721
Central America (BP),,2013,0.0026666666381061077
Central America (BP),,2014,0.026719164103269577
Central America (BP),,2015,1.5677049160003662
Central America (BP),,2016,1.5483450889587402
Central America (BP),,2017,0.7355237007141113
