Entity,Code,Year,Solar (% growth)
Chile,CHL,2021,39.1535758972168
China,CHN,1991,0
China,CHN,1992,50
China,CHN,1993,33.333335876464844
China,CHN,1994,24.999988555908203
China,CHN,1995,40.00000762939453
China,CHN,1996,28.571414947509766
China,CHN,1997,22.22222137451172
China,CHN,1998,27.272737503051758
China,CHN,1999,21.428573608398438
China,CHN,2000,29.41175651550293
China,CHN,2001,40.909088134765625
China,CHN,2002,54.83871841430664
China,CHN,2003,33.333335876464844
China,CHN,2004,18.749988555908203
China,CHN,2005,10.526323318481445
China,CHN,2006,13.095235824584961
China,CHN,2007,20.000003814697266
China,CHN,2008,33.33332443237305
China,CHN,2009,83.55264282226562
China,CHN,2010,151.25445556640625
China,CHN,2011,272.32525634765625
China,CHN,2012,37.7206916809082
China,CHN,2013,132.96322631835938
China,CHN,2014,180.77955627441406
China,CHN,2015,67.9155502319336
China,CHN,2016,68.50806427001953
China,CHN,2017,77.06845092773438
China,CHN,2018,50.16976547241211
China,CHN,2019,26.625215530395508
China,CHN,2020,16.562498092651367
China,CHN,2021,25.23937225341797
Colombia,COL,2001,45.43485641479492
Colombia,COL,2002,74.28571319580078
Colombia,COL,2003,37.70492172241211
Colombia,COL,2004,24.148727416992188
Colombia,COL,2005,19.863914489746094
Colombia,COL,2006,-100
Colombia,COL,2018,140.00001525878906
Colombia,COL,2019,1000.5
Colombia,COL,2020,44.479774475097656
Colombia,COL,2021,66.3111343383789
Croatia,HRV,2010,0
Croatia,HRV,2011,0
Croatia,HRV,2012,12047.716796875
Croatia,HRV,2013,464.69793701171875
Croatia,HRV,2014,209.9001922607422
Croatia,HRV,2015,62.857139587402344
Croatia,HRV,2016,15.789472579956055
Croatia,HRV,2017,19.24241828918457
Croatia,HRV,2018,-4.828458786010742
Croatia,HRV,2019,10.947931289672852
Croatia,HRV,2020,14.921784400939941
Croatia,HRV,2021,1.8780112266540527
Cyprus,CYP,2005,41.50000762939453
Cyprus,CYP,2006,77.03179168701172
Cyprus,CYP,2007,72.95410919189453
Cyprus,CYP,2008,73.11021423339844
Cyprus,CYP,2009,33.333335876464844
Cyprus,CYP,2010,75
Cyprus,CYP,2011,71.42857360839844
Cyprus,CYP,2012,83.33332824707031
Cyprus,CYP,2013,113.6363525390625
Cyprus,CYP,2014,77.87234497070312
Cyprus,CYP,2015,51.5059814453125
Cyprus,CYP,2016,15.220392227172852
Cyprus,CYP,2017,17.872787475585938
Cyprus,CYP,2018,11.516094207763672
Cyprus,CYP,2019,13.781476020812988
Cyprus,CYP,2020,35.434139251708984
Cyprus,CYP,2021,60.31332015991211
Czechia,CZE,2005,-32
Czechia,CZE,2006,150
Czechia,CZE,2007,931.7647094726562
Czechia,CZE,2008,637.5712890625
Czechia,CZE,2009,586.4574584960938
Czechia,CZE,2010,593.3034057617188
Czechia,CZE,2011,243.9976043701172
Czechia,CZE,2012,2.601504325866699
Czechia,CZE,2013,-4.735171794891357
Czechia,CZE,2014,2.545654773712158
Czechia,CZE,2015,6.637144088745117
Czechia,CZE,2016,-5.866235733032227
Czechia,CZE,2017,2.9266953468322754
Czechia,CZE,2018,6.670522689819336
Czechia,CZE,2019,-2.298480272293091
Czechia,CZE,2020,-2.30981707572937
Czechia,CZE,2021,-3.6908090114593506
Denmark,DNK,1997,98.27571105957031
Denmark,DNK,1998,25.21756935119629
Denmark,DNK,1999,120.13899993896484
Denmark,DNK,2000,36.27754592895508
Denmark,DNK,2001,0
Denmark,DNK,2002,6.712996959686279
Denmark,DNK,2003,18.655025482177734
Denmark,DNK,2004,21.0237979888916
Denmark,DNK,2005,17.52264404296875
Denmark,DNK,2006,2.442169189453125
Denmark,DNK,2007,12.67249584197998
Denmark,DNK,2008,5.122506618499756
Denmark,DNK,2009,43.00848388671875
Denmark,DNK,2010,64.29629516601562
Denmark,DNK,2011,145.58163452148438
Denmark,DNK,2012,586.432861328125
Denmark,DNK,2013,398.30169677734375
Denmark,DNK,2014,15.06643295288086
Denmark,DNK,2015,1.4683723449707031
Denmark,DNK,2016,23.089265823364258
Denmark,DNK,2017,1.0360002517700195
Denmark,DNK,2018,26.811790466308594
Denmark,DNK,2019,1.0804533958435059
Denmark,DNK,2020,22.55469512939453
Denmark,DNK,2021,8.249378204345703
Eastern Africa (BP),,2002,99.42527770996094
Eastern Africa (BP),,2003,0
Eastern Africa (BP),,2004,100.28817749023438
Eastern Africa (BP),,2005,97.553955078125
Eastern Africa (BP),,2006,286.52587890625
Eastern Africa (BP),,2007,90.48959350585938
Eastern Africa (BP),,2008,89.26260375976562
Eastern Africa (BP),,2009,75.0000228881836
Eastern Africa (BP),,2010,190.79266357421875
Eastern Africa (BP),,2011,82.86367797851562
Eastern Africa (BP),,2012,39.90471267700195
Eastern Africa (BP),,2013,24.660598754882812
Eastern Africa (BP),,2014,31.05980110168457
Eastern Africa (BP),,2015,14.489483833312988
Eastern Africa (BP),,2016,14.294290542602539
Eastern Africa (BP),,2017,14.410293579101562
Eastern Africa (BP),,2018,19.208574295043945
Eastern Africa (BP),,2019,43.08904266357422
Eastern Africa (BP),,2020,12.677574157714844
Eastern Africa (BP),,2021,15.828741073608398
Ecuador,ECU,2006,19.95967674255371
Ecuador,ECU,2007,22.09748077392578
Ecuador,ECU,2008,46.93865966796875
Ecuador,ECU,2009,-70.4725112915039
Ecuador,ECU,2010,-100
Ecuador,ECU,2012,460.32342529296875
Ecuador,ECU,2013,1024.9791259765625
Ecuador,ECU,2014,349.90350341796875
Ecuador,ECU,2015,118.76229858398438
Ecuador,ECU,2016,7.4793219566345215
Ecuador,ECU,2017,-3.289443254470825
Ecuador,ECU,2018,1.5990495681762695
Ecuador,ECU,2019,337.11981201171875
Ecuador,ECU,2020,-77.3148193359375
Ecuador,ECU,2021,-2.356994152069092
Egypt,EGY,2001,350
Egypt,EGY,2002,11.111116409301758
Egypt,EGY,2003,0
Egypt,EGY,2004,0
Egypt,EGY,2005,0
Egypt,EGY,2006,0
Egypt,EGY,2007,20.000003814697266
Egypt,EGY,2008,25
Egypt,EGY,2009,46.66667175292969
Egypt,EGY,2010,1045.45458984375
Egypt,EGY,2011,870.5119018554688
Egypt,EGY,2012,106.15899658203125
Egypt,EGY,2013,-94.95499420166016
Egypt,EGY,2014,448.60638427734375
Egypt,EGY,2015,-69.90304565429688
Egypt,EGY,2016,456.21429443359375
Egypt,EGY,2017,157.92774963378906
Egypt,EGY,2018,-8.220463752746582
Egypt,EGY,2019,169.42584228515625
Egypt,EGY,2020,90.3747329711914
Egypt,EGY,2021,-0.2732217311859131
Estonia,EST,2010,0
Estonia,EST,2011,100
Estonia,EST,2012,50.0000114440918
Estonia,EST,2013,366.6666564941406
Estonia,EST,2014,121.4285888671875
Estonia,EST,2015,90.32257843017578
Estonia,EST,2016,64.01695251464844
Estonia,EST,2017,49.75716018676758
Estonia,EST,2018,112.54484558105469
Estonia,EST,2019,138.62088012695312
Estonia,EST,2020,72.66912841796875
Estonia,EST,2021,98.66600036621094
Europe,,1985,0
Europe,,1986,0
Europe,,1987,-100
Europe,,1989,799.9998779296875
Europe,,1990,37.5000114440918
Europe,,1991,24
Europe,,1992,61.858070373535156
Europe,,1993,29.07763671875
Europe,,1994,7.119476795196533
Europe,,1995,29.264747619628906
Europe,,1996,6.626701354980469
Europe,,1997,19.064128875732422
Europe,,1998,17.85161590576172
Europe,,1999,19.540691375732422
Europe,,2000,-7.138341903686523
Europe,,2001,160.76812744140625
Europe,,2002,62.075660705566406
Europe,,2003,48.90874481201172
Europe,,2004,60.25208282470703
Europe,,2005,101.35633850097656
Europe,,2006,69.87017059326172
Europe,,2007,50.93701934814453
Europe,,2008,95.71038818359375
Europe,,2009,88.75609588623047
Europe,,2010,64.01611328125
Europe,,2011,100.4843978881836
Europe,,2012,53.35018539428711
Europe,,2013,19.81983184814453
Europe,,2014,12.630546569824219
Europe,,2015,11.184334754943848
Europe,,2016,3.2012462615966797
Europe,,2017,7.730007171630859
Europe,,2018,7.14486837387085
Europe,,2019,10.25942611694336
Europe,,2020,17.12380599975586
Europe,,2021,11.14448356628418
Europe (BP),,1985,0
Europe (BP),,1986,0
Europe (BP),,1987,-100
Europe (BP),,1989,799.9998779296875
Europe (BP),,1990,37.5000114440918
Europe (BP),,1991,24
Europe (BP),,1992,61.85805892944336
Europe (BP),,1993,29.077648162841797
Europe (BP),,1994,7.119476795196533
Europe (BP),,1995,29.264747619628906
Europe (BP),,1996,6.626701354980469
Europe (BP),,1997,19.064128875732422
Europe (BP),,1998,17.85161590576172
Europe (BP),,1999,19.540691375732422
Europe (BP),,2000,-7.138341903686523
Europe (BP),,2001,160.76812744140625
Europe (BP),,2002,62.075660705566406
Europe (BP),,2003,48.90876007080078
Europe (BP),,2004,60.252071380615234
Europe (BP),,2005,101.35633850097656
Europe (BP),,2006,69.87016296386719
Europe (BP),,2007,50.937034606933594
Europe (BP),,2008,95.71038818359375
Europe (BP),,2009,88.75609588623047
Europe (BP),,2010,64.03286743164062
Europe (BP),,2011,100.47102355957031
Europe (BP),,2012,53.344871520996094
Europe (BP),,2013,19.813644409179688
Europe (BP),,2014,12.469196319580078
Europe (BP),,2015,11.194908142089844
Europe (BP),,2016,3.851783275604248
Europe (BP),,2017,9.21133804321289
Europe (BP),,2018,10.924541473388672
Europe (BP),,2019,10.482942581176758
Europe (BP),,2020,16.756702423095703
Europe (BP),,2021,11.329436302185059
European Union (27),,1990,26.499998092651367
European Union (27),,1991,17.391311645507812
European Union (27),,1992,63.614810943603516
European Union (27),,1993,28.4996395111084
European Union (27),,1994,4.599583148956299
European Union (27),,1995,30.82506561279297
European Union (27),,1996,5.075728893280029
European Union (27),,1997,22.334026336669922
European Union (27),,1998,18.351577758789062
European Union (27),,1999,17.109180450439453
European Union (27),,2000,-17.377376556396484
European Union (27),,2001,203.92971801757812
European Union (27),,2002,67.57142639160156
European Union (27),,2003,51.49433517456055
European Union (27),,2004,63.76869583129883
European Union (27),,2005,104.39622497558594
European Union (27),,2006,71.09552764892578
European Union (27),,2007,51.46487808227539
European Union (27),,2008,96.68727111816406
European Union (27),,2009,89.21183013916016
European Union (27),,2010,63.946807861328125
European Union (27),,2011,99.76726531982422
European Union (27),,2012,50.54609680175781
European Union (27),,2013,18.799102783203125
European Union (27),,2014,10.210084915161133
European Union (27),,2015,7.500171661376953
European Union (27),,2016,0.19415616989135742
European Union (27),,2017,6.909084320068359
European Union (27),,2018,6.27511739730835
European Union (27),,2019,9.566080093383789
European Union (27),,2020,16.23623275756836
European Union (27),,2021,12.10169792175293
Finland,FIN,1991,0
Finland,FIN,1992,20.000003814697266
Finland,FIN,1993,16.666662216186523
Finland,FIN,1994,14.28571891784668
Finland,FIN,1995,0
Finland,FIN,1996,25.000011444091797
Finland,FIN,1997,20.000003814697266
Finland,FIN,1998,8.333325386047363
Finland,FIN,1999,7.692301273345947
Finland,FIN,2000,14.28571891784668
Finland,FIN,2001,6.25
Finland,FIN,2002,11.764705657958984
Finland,FIN,2003,10.526311874389648
Finland,FIN,2004,14.28571891784668
Finland,FIN,2005,8.333325386047363
Finland,FIN,2006,30.769229888916016
Finland,FIN,2007,11.764705657958984
Finland,FIN,2008,2.6315689086914062
Finland,FIN,2009,10.25642204284668
Finland,FIN,2010,9.302318572998047
Finland,FIN,2011,12.765955924987793
Finland,FIN,2012,7.547175884246826
Finland,FIN,2013,14.035093307495117
Finland,FIN,2014,23.076927185058594
Finland,FIN,2015,38.888885498046875
Finland,FIN,2016,100
Finland,FIN,2017,122.72724914550781
Finland,FIN,2018,83.67347717285156
Finland,FIN,2019,63.33332061767578
Finland,FIN,2020,48.979591369628906
Finland,FIN,2021,39.269412994384766
France,FRA,1993,13.10483169555664
France,FRA,1994,11.616158485412598
France,FRA,1995,8.597278594970703
France,FRA,1996,29.916667938232422
France,FRA,1997,28.54393768310547
France,FRA,1998,20.00998306274414
France,FRA,1999,11.226606369018555
France,FRA,2000,14.859807968139648
France,FRA,2001,17.943811416625977
France,FRA,2002,15.306388854980469
France,FRA,2003,9.345459938049316
France,FRA,2004,8.763456344604492
France,FRA,2005,24.299001693725586
France,FRA,2006,13.382744789123535
France,FRA,2007,51.18362808227539
France,FRA,2008,133.33334350585938
France,FRA,2009,314.28570556640625
France,FRA,2010,256.3218688964844
France,FRA,2011,235.1613006591797
France,FRA,2012,93.26273345947266
France,FRA,2013,17.903400421142578
France,FRA,2014,24.87856101989746
France,FRA,2015,22.83380126953125
France,FRA,2016,12.415802001953125
France,FRA,2017,11.484241485595703
France,FRA,2018,14.379655838012695
France,FRA,2019,12.829839706420898
France,FRA,2020,10.028398513793945
France,FRA,2021,13
Germany,DEU,1991,0
Germany,DEU,1992,100
Germany,DEU,1993,50
Germany,DEU,1994,33.333335876464844
Germany,DEU,1995,24.999988555908203
Germany,DEU,1996,20.000003814697266
Germany,DEU,1997,83.33332824707031
Germany,DEU,1998,36.3636360168457
Germany,DEU,1999,26.666664123535156
Germany,DEU,2000,-100
Germany,DEU,2002,100
Germany,DEU,2003,56.49999237060547
Germany,DEU,2004,77.95526885986328
Germany,DEU,2005,134.82945251464844
Germany,DEU,2006,73.16515350341797
Germany,DEU,2007,38.4988899230957
Germany,DEU,2008,43.70416259765625
Germany,DEU,2009,48.957420349121094
Germany,DEU,2010,78.15338134765625
Germany,DEU,2011,67.10690307617188
Germany,DEU,2012,33.78020477294922
Germany,DEU,2013,14.496707916259766
Germany,DEU,2014,12.857187271118164
Germany,DEU,2015,7.561206817626953
Germany,DEU,2016,-1.3478338718414307
Germany,DEU,2017,3.3351659774780273
Germany,DEU,2018,14.688718795776367
Germany,DEU,2019,2.126145362854004
Germany,DEU,2020,9.593761444091797
Germany,DEU,2021,0.738060474395752
Greece,GRC,2005,0
Greece,GRC,2006,0
Greece,GRC,2007,0
Greece,GRC,2008,399.99993896484375
Greece,GRC,2009,900
Greece,GRC,2010,216.00001525878906
Greece,GRC,2011,286.0759582519531
Greece,GRC,2012,177.7049102783203
Greece,GRC,2013,115.3482894897461
Greece,GRC,2014,3.9473652839660645
Greece,GRC,2015,2.8481006622314453
Greece,GRC,2016,0.7692337036132812
Greece,GRC,2017,1.5643000602722168
Greece,GRC,2018,-5.031347274780273
Greece,GRC,2019,16.827129364013672
Greece,GRC,2020,0.4142284393310547
Greece,GRC,2021,16.216432571411133
High-income countries,,1984,110.37037658691406
High-income countries,,1985,86.13958740234375
High-income countries,,1986,29.251920700073242
High-income countries,,1987,-30.168973922729492
High-income countries,,1988,-3.8391828536987305
High-income countries,,1989,2471.83447265625
High-income countries,,1990,46.9339599609375
High-income countries,,1991,30.082916259765625
High-income countries,,1992,-8.104056358337402
High-income countries,,1993,19.130538940429688
High-income countries,,1994,6.98314905166626
High-income countries,,1995,6.607985496520996
High-income countries,,1996,8.364236831665039
High-income countries,,1997,7.133376598358154
High-income countries,,1998,8.007621765136719
High-income countries,,1999,11.507713317871094
High-income countries,,2000,14.942789077758789
High-income countries,,2001,34.12568664550781
High-income countries,,2002,26.029193878173828
